Hostname,Name,Description,Serial Number,Start Date,End Date
TIP-1F,Switch 1,C9300L-24T-4X,FOC2651YJVV,2022-SEP-02,2025-SEP-02
TIP-1F,Switch 2,C9300L-24P-4X,FOC2629YU0A,2022-SEP-02,2025-SEP-02
TIP-2F,Switch 1,C9300L-24P-4X,FOC2630Y3XK,2022-SEP-02,2025-SEP-02
TIP-3F,Switch 1,C9300L-24P-4X,FOC2630Y24C,2022-SEP-02,2025-SEP-02
TIP-4F,Switch 1,C9300L-24P-4X,FOC2630Y3JL,2022-SEP-02,2025-SEP-02
TIP-5F,Switch 1,C9300L-24P-4X,FOC2630Y2QP,2022-SEP-02,2025-SEP-02
TIP-Dist-SW,Switch 1,C9500-16X,FOC2631YACR,,
TIP-Dist-SW,Switch 2,C9500-16X,FOC2631Y8DF,,
TIP-GF,Switch 1,C9300L-24P-4X,FOC2630Y25Q,2023-JAN-26,2026-JAN-26
TIP-GF,Switch 2,C9300L-24T-4X,FOC2651YJKL,2023-JAN-26,2026-JAN-26
TIP-GF,Switch 3,C9300L-24P-4X - Provisioned,,2023-JAN-26,2026-JAN-26
